timestamp,batch_id,time_min,moisture_raw,red,green,blue,moisture_status,color_status,final_status,readiness_score
2026-05-11 04:52:15,BATCH_001,235,520,9113,9174,9167,PASS,PASS,PASS,100
2026-05-11 04:52:26,BATCH_001,240,519,9194,9191,9200,PASS,PASS,PASS,100
2026-05-11 04:52:37,BATCH_001,245,515,9189,9122,9166,PASS,PASS,PASS,100
2026-05-11 04:52:49,BATCH_001,250,513,9163,9214,9130,PASS,PASS,PASS,100
2026-05-11 04:53:01,BATCH_001,255,513,9137,9113,9202,PASS,PASS,PASS,100
2026-05-11 04:53:12,BATCH_001,260,513,9179,9184,9135,PASS,PASS,PASS,100
2026-05-11 04:53:24,BATCH_001,265,525,12276,12397,12235,PASS,PASS,PASS,100
2026-05-11 04:53:36,BATCH_001,270,309,9301,9278,9256,WARN,PASS,WARN,75
2026-05-11 04:53:48,BATCH_001,275,412,12383,7339,8329,WARN,PASS,WARN,75
2026-05-11 04:54:00,BATCH_001,280,244,9345,9373,9396,HOLD,PASS,HOLD,50
2026-05-11 04:54:12,BATCH_001,285,243,9407,9397,9418,HOLD,PASS,HOLD,50
2026-05-11 04:54:24,BATCH_001,290,245,9392,9421,9404,HOLD,PASS,HOLD,50
2026-05-11 04:54:36,BATCH_001,295,312,9372,9368,9341,WARN,PASS,WARN,75
2026-05-11 04:54:47,BATCH_001,300,476,9191,9238,9406,PASS,PASS,PASS,100
2026-05-11 04:54:59,BATCH_001,305,342,9400,9413,9426,WARN,PASS,WARN,75
2026-05-11 04:55:02,BATCH_001,310,342,9419,9384,9422,WARN,PASS,WARN,75
2026-05-11 04:55:09,BATCH_001,315,342,9462,9423,9435,WARN,PASS,WARN,75
2026-05-11 04:55:17,BATCH_001,320,342,9497,9495,9505,WARN,PASS,WARN,75
2026-05-11 04:55:26,BATCH_001,325,341,9617,9552,9443,WARN,PASS,WARN,75
2026-05-11 04:55:35,BATCH_001,330,342,9454,9437,9439,WARN,PASS,WARN,75
2026-05-11 04:55:43,BATCH_001,335,449,0,0,0,PASS,PASS,PASS,100
2026-05-11 04:55:52,BATCH_001,340,515,9177,9244,9265,PASS,PASS,PASS,100
2026-05-11 04:56:00,BATCH_001,345,517,9191,9110,9263,PASS,PASS,PASS,100
2026-05-11 04:56:10,BATCH_001,350,517,9288,9284,9240,PASS,PASS,PASS,100
2026-05-11 04:56:18,BATCH_001,355,516,9241,9299,9303,PASS,PASS,PASS,100
2026-05-11 04:56:27,BATCH_001,360,517,9265,9309,9287,PASS,PASS,PASS,100
2026-05-11 04:56:36,BATCH_001,365,516,9285,9308,9286,PASS,PASS,PASS,100
2026-05-11 04:56:45,BATCH_001,370,516,9285,9285,9278,PASS,PASS,PASS,100
2026-05-11 04:56:54,BATCH_001,375,517,9321,9247,9320,PASS,PASS,PASS,100
2026-05-11 04:57:02,BATCH_001,380,517,9283,9300,9274,PASS,PASS,PASS,100
2026-05-11 04:57:11,BATCH_001,385,517,9304,9326,9271,PASS,PASS,PASS,100
2026-05-11 04:57:21,BATCH_001,390,516,9314,9328,9386,PASS,PASS,PASS,100
2026-05-11 04:57:29,BATCH_001,395,516,9334,9332,9281,PASS,PASS,PASS,100
2026-05-11 04:57:38,BATCH_001,400,517,9312,9301,9249,PASS,PASS,PASS,100
2026-05-11 04:57:46,BATCH_001,405,515,9318,9321,9319,PASS,PASS,PASS,100
2026-05-11 04:57:55,BATCH_001,410,515,9621,9578,9480,PASS,PASS,PASS,100
2026-05-11 04:58:04,BATCH_001,415,516,9672,9684,9695,PASS,PASS,PASS,100
2026-05-11 04:58:12,BATCH_001,420,516,9668,9693,9678,PASS,PASS,PASS,100
2026-05-11 04:58:21,BATCH_001,425,516,9962,9960,9984,PASS,PASS,PASS,100
2026-05-11 04:58:29,BATCH_001,430,517,9922,9927,9902,PASS,PASS,PASS,100
2026-05-11 04:58:38,BATCH_001,435,517,9890,9870,9882,PASS,PASS,PASS,100
2026-05-11 04:58:46,BATCH_001,440,517,9841,9835,9834,PASS,PASS,PASS,100
2026-05-11 04:58:55,BATCH_001,445,517,9805,9830,9823,PASS,PASS,PASS,100
2026-05-11 04:59:03,BATCH_001,450,517,9804,9823,9811,PASS,PASS,PASS,100
2026-05-11 04:59:12,BATCH_001,455,517,9809,9795,9813,PASS,PASS,PASS,100
